127.0.0.1, 2018-04-10 15:45:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000484
127.0.0.1, 2018-04-10 15:45:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000171
127.0.0.1, 2018-04-10 15:45:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000203
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/default/edit/start/views/layout.html, HTTP/1.1, 200, 0.039933
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000488
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000930
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000442
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000457
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000604
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000696
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000439
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000705
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000595
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000429
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000448
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000488
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000827
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000450
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000472
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000425
127.0.0.1, 2018-04-10 15:45:38, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000387
