127.0.0.1, 2018-04-17 14:26:47, GET, /camphyr/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-17 14:26:47, GET, /camphyr/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-17 14:26:47, GET, /camphyr/static/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-17 14:26:47, GET, /camphyr/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-17 14:26:47, GET, /camphyr/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-17 14:26:47, GET, /camphyr/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-17 14:26:47, GET, /camphyr/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-17 14:26:47, GET, /camphyr/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-17 14:26:47, GET, /camphyr/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-17 14:26:47, GET, /camphyr/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-17 14:26:48, GET, /camphyr/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-17 14:26:48, GET, /camphyr/static/images/facebook.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-17 14:26:48, GET, /camphyr/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-17 14:26:48, GET, /camphyr/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-17 14:27:08, GET, /admin/default/site, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-04-17 14:27:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-17 14:27:10, GET, /camphyr/default/index, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-04-18 10:34:22, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-04-18 10:34:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.285000
127.0.0.1, 2018-04-18 10:34:43, GET, /admin/default/index, HTTP/1.1, 200, 0.264000
